City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,katsuren-haebaru,26.3369,127.8719,79.09,95,20,6.91,JP,1731184160
1,port mathurin,-19.6833,63.4167,75.72,88,35,16.17,MU,1731184162
2,adamstown,-25.066,-130.1015,73.29,87,99,19.86,PN,1731184164
3,geretsried,47.8578,11.4805,40.28,94,81,0.92,DE,1731184166
4,blackmans bay,-43.0167,147.3167,51.93,73,88,1.99,AU,1731184168
5,anadyr,64.75,177.4833,21.7,92,75,4.47,RU,1731184170
6,guerrero negro,27.9769,-114.0611,74.93,24,0,7.18,MX,1731183893
7,kodiak,57.79,-152.4072,40.51,81,100,19.57,US,1731184174
8,bethel,41.3712,-73.414,53.06,31,0,4.0,US,1731184176
9,uturoa,-16.7333,-151.4333,80.38,81,96,11.27,PF,1731184178
10,tabuk,17.4189,121.4443,72.9,94,45,3.0,PH,1731184180
11,port-aux-francais,-49.35,70.2167,41.22,92,80,23.13,TF,1731184182
12,tommot,58.9564,126.2925,6.98,98,100,2.28,RU,1731184184
13,perelyub,51.8667,50.3667,34.84,91,4,16.62,RU,1731184186
14,la ronge,55.1001,-105.2842,44.85,53,75,12.66,CA,1731184188
15,tiksi,71.6872,128.8694,8.64,91,100,8.99,RU,1731184190
16,ambovombe,-25.1667,46.0833,73.62,84,52,1.81,MG,1731184192
17,wailua homesteads,22.0669,-159.378,79.59,83,40,13.8,US,1731184194
18,puerto deseado,-47.7503,-65.8938,67.48,15,34,38.52,AR,1731184196
19,stanley,54.868,-1.6985,45.28,95,75,1.14,GB,1731184198
20,longyearbyen,78.2186,15.6401,24.64,74,75,14.97,SJ,1731184200
21,constitucion,-35.3333,-72.4167,62.28,75,99,14.45,CL,1731184202
22,barclayville,4.6797,-8.2339,77.43,89,80,5.97,LR,1731184205
23,caxito,-8.5785,13.6643,76.1,93,100,3.18,AO,1731184207
24,puerto natales,-51.7236,-72.4875,54.05,50,75,23.02,CL,1731184209
25,choma,-16.8065,26.9531,71.22,49,1,4.32,ZM,1731184211
26,qaqortoq,60.7167,-46.0333,32.41,99,100,5.37,GL,1731184213
27,coquimbo,-29.9533,-71.3436,63.99,63,75,9.22,CL,1731184215
28,bredasdorp,-34.5322,20.0403,60.78,85,42,11.16,ZA,1731184217
29,pisco,-13.7,-76.2167,71.65,60,0,10.36,PE,1731184219
30,edinburgh of the seven seas,-37.0676,-12.3116,58.1,91,100,12.46,SH,1731184221
31,castillos,-34.1667,-53.8333,64.47,66,0,8.21,UY,1731184223
32,namtsy,62.7161,129.6658,3.11,97,100,2.55,RU,1731184225
33,campo formoso,-10.5075,-40.3214,85.12,42,99,8.14,BR,1731184227
34,lerwick,60.1545,-1.1494,49.44,78,100,18.19,GB,1731184229
35,chonchi,-42.6128,-73.8092,55.02,50,26,7.27,CL,1731184231
36,paracuru,-3.41,-39.0306,78.57,79,9,12.17,BR,1731184233
37,waitangi,-43.9535,-176.5597,59.83,93,98,5.99,NZ,1731184235
38,puerto ayora,-0.7393,-90.3518,73.54,83,27,8.99,EC,1731184237
39,inhambupe,-11.7844,-38.3531,79.97,67,100,14.23,BR,1731184239
40,college,64.8569,-147.8028,13.06,85,75,0.0,US,1731183960
41,kavaratti,10.5669,72.642,82.47,71,6,1.3,IN,1731184243
42,papatowai,-46.5619,169.4708,54.86,55,98,1.03,NZ,1731184245
43,gizo,-8.103,156.8419,82.74,74,85,6.55,SB,1731184247
44,soio,-6.1349,12.3689,77.58,87,100,3.22,AO,1731184249
45,petropavlovsk-kamchatsky,53.0452,158.6483,14.59,67,75,8.95,RU,1731184209
46,tura,25.5198,90.2201,66.34,83,0,3.91,IN,1731184253
47,ushuaia,-54.8,-68.3,44.26,87,75,9.22,AR,1731184255
48,santo antonio do ica,-3.1022,-67.9397,83.59,75,78,3.67,BR,1731184257
49,hawaiian paradise park,19.5933,-154.9731,78.87,80,75,11.5,US,1731184259
50,vila franca do campo,37.7167,-25.4333,68.41,99,97,7.05,PT,1731184261
51,happy valley-goose bay,53.3168,-60.3315,32.31,51,40,8.05,CA,1731184263
52,iqaluit,63.7506,-68.5145,15.53,72,75,11.5,CA,1731184265
53,grytviken,-54.2811,-36.5092,25.86,72,10,9.86,GS,1731184267
54,mariehamn,60.0973,19.9348,37.26,100,100,1.14,AX,1731184269
55,khagrachhari,23.1,91.9667,65.61,95,0,1.43,BD,1731184271
56,balqash,46.8481,74.995,30.04,89,100,15.95,KZ,1731184273
57,badger,64.8,-147.5333,16.36,86,0,0.0,US,1731184275
58,port lincoln,-34.7333,135.8667,59.38,74,56,13.62,AU,1731184277
